Country,Tests,Test Pop,Density,Urban Pop,Quarantine,Schools,Restrictions,Hospital Bed,sex0,sex14,sex25,sex54,sex64,sex65plus,Sex Ratio,lung,Female Lung,Male Lung,Median Age,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,Total Infected,Total Deaths,Total Recovered
India,5900.0,233899.0483,464.0,35.0,3/23/2020,,,0.7,1.12,1.13,1.13,1.06,1.01,0.9,1.08,96.92,87.54,106.89,27.9,2718732231257.57,42.38,1380004.385,11.5,48.0235396426684,1024,27,95
Indonesia,,,151.0,56.0,,,,1.2,1.05,1.04,1.04,1.04,0.84,0.77,1.0,36.26,23.54,51.83,30.2,1042173300625.55,46.26,273523.615,39.4,49.6438821889217,1285,114,64
Ireland,1784.0,2767.8172649999997,72.0,63.0,,3/13/2020,3/13/2020,2.8,1.06,1.05,1.03,1.01,1.0,0.86,1.0,24.92,23.02,27.25,36.8,382487490532.479,46.18,4937.786,24.3,50.4255094845201,2615,46,5
Israel,3872.0,2235.417097,400.0,93.0,3/19/2020,3/12/2020,3/15/2020,3.1,1.05,1.05,1.05,1.05,0.96,0.81,1.01,16.1,12.81,20.23,29.9,370587977153.58295,30.71,8655.535,25.2,50.2981265779531,4247,15,132
Italy,148657.0,406.7203428,206.0,69.0,3/8/2020,,,3.4,1.06,1.04,1.0,0.98,0.94,0.75,0.93,17.0,12.78,22.78,45.5,2083864259622.65,44.35,60461.825999999994,23.7,51.37666962556521,97689,10779,13030
Jamaica,,,273.0,55.0,,,,1.7,1.05,1.04,1.01,0.98,0.93,0.81,0.98,15.74,6.33,26.44,26.0,15713908816.1463,65.26,2961.167,16.8,50.339829626901206,32,1,2
Japan,16484.0,7672.680235,347.0,92.0,,3/2/2020,2/25/2020,13.4,1.06,1.06,1.11,0.98,1.0,0.77,0.94,12.17,5.8,20.85,47.3,4971323079771.87,15.91,126476.461,22.1,51.1592591291078,1866,54,424
Kazakhstan,,,7.0,58.0,,,,6.7,0.94,0.98,1.04,0.95,0.78,0.53,0.92,114.28,79.27,174.88,30.6,179339994859.38394,64.23,18776.707,24.0,51.5114836468188,284,1,20
Kenya,,,94.0,28.0,,3/15/2020,,1.4,1.02,1.01,1.0,1.02,0.84,0.77,1.0,19.15,14.92,24.16,19.7,87908262519.9164,62.38,53771.295999999995,10.7,50.3160203897178,42,1,1
South Korea,286716.0,178.81522130000002,527.0,82.0,,2/23/2020,,11.5,1.05,1.06,1.12,1.06,0.98,0.71,1.0,10.48,6.6,16.23,41.8,1619423701169.63,29.24,51269.185,23.3,49.9168817920843,9583,152,5033
Kuwait,120000.0,35.58809167,240.0,92.0,,,,2.0,1.05,1.08,1.22,1.72,1.31,0.89,1.41,10.99,7.44,13.43,29.3,140645364238.411,35.61,4270.571,22.5,39.5481706247096,255,0,67
Latvia,1147.0,1644.462075,30.0,69.0,,,,5.8,1.05,1.05,1.07,0.98,0.79,0.48,0.86,8.06,2.76,17.68,43.6,34409229177.9105,36.6,1886.1979999999999,37.0,54.0101666562093,347,0,1
Lebanon,,,667.0,78.0,,,,2.9,1.05,1.05,1.05,1.02,0.88,0.79,1.0,17.28,13.86,20.78,30.5,56639155555.5556,43.38,6825.445,33.8,49.705805515578,438,10,30
Lithuania,742.0,3668.8531,43.0,71.0,,,,7.3,1.06,1.05,1.07,0.97,0.79,0.51,0.86,11.5,4.13,25.02,43.7,53429066429.1251,34.82,2722.289,28.8,53.791958647327796,460,7,1
Luxembourg,,,242.0,88.0,,,,4.8,1.06,1.06,1.05,1.05,1.03,0.79,1.01,20.52,17.2,24.91,39.3,70885325883.0941,30.17,625.9780000000001,23.5,49.53925897485121,1950,21,40
Malaysia,9799.0,3302.989999,99.0,78.0,3/18/2020,,,1.9,1.07,1.06,1.03,1.02,1.03,0.9,1.03,23.73,12.95,34.24,28.5,358581943446.259,60.66,32365.999,21.5,48.578520581984904,2470,35,388
Maldives,,,1802.0,35.0,,,,4.3,1.05,1.04,1.37,1.34,1.0,0.89,1.23,26.7,26.61,26.89,28.2,5327457149.72581,53.83,540.544,28.3,37.2649814622342,17,0,13
Malta,889.0,496.6737908,1380.0,93.0,,,,4.7,1.06,1.05,1.06,1.05,0.98,0.81,0.99,12.05,6.66,19.15,41.8,14553422928.8831,37.73,441.543,25.5,49.8733082150459,151,0,2
Mauritius,,,626.0,41.0,,,,3.4,1.05,1.04,1.02,1.0,0.9,0.68,0.97,30.56,17.36,48.62,35.3,14220348672.7333,47.34,1271.768,21.6,50.57710640285861,107,3,0
Mexico,,,66.0,84.0,,,,1.5,1.05,1.05,1.03,0.93,0.85,0.82,0.96,27.85,23.43,33.14,28.3,1220699479845.98,52.51,128932.75300000001,14.0,51.08928083193911,848,16,4
